9833,superiorliquor,HARP,LAGER,HARP--LAGER-12OZ-BOTTLES-12-PACK_p_11887.html,12OZ BOTTLES,12 PACK,$15.99,2014-03-10 14:38:14.83097,,
10073,superiorliquor,KCCO,BLACK LAGER,KCCO--BLACK-LAGER-12OZ-BOTTLES-6-PACK_p_25245.html,12OZ BOTTLES,6 PACK,$7.99,2014-03-10 14:38:14.914679,,
4596,superiorliquor,NEWCASTLE,BROWN,NEWCASTLE--BROWN-12OZ-BOTTLES-12-PACK_p_11588.html,12OZ BOTTLES,12 PACK,$16.99,2014-03-10 14:38:15.392902,,
3816,superiorliquor,BRISTOL BREWING,RED ROCKET,BRISTOL-BREWING--RED-ROCKET-12OZ-BOTTLES-6-PACK_p_11524.html,12OZ BOTTLES,6 PACK,$7.49,2014-03-10 14:38:15.801431,,
4081,superiorliquor,BRISTOL BREWING,BEEHIVE,BRISTOL-BREWING--BEEHIVE-12OZ-BOTTLES-6-PACK_p_14516.html,12OZ BOTTLES,6 PACK,$7.49,2014-03-10 14:38:15.963735,,
4170,superiorliquor,DRY DOCK,AMBER ALE,DRY-DOCK--AMBER-ALE-12OZ-CANS-6PKC_p_23917.html,12OZ CANS,6PKC,$6.99,2014-03-10 14:38:16.046175,,
3787,superiorliquor,HARP,LAGER,HARP--LAGER-12OZ-BOTTLES-6-PACK_p_11155.html,12OZ BOTTLES,6 PACK,$8.99,2014-03-10 14:38:16.126563,,
4435,superiorliquor,BACKCOUNTRY BREWERY,AMBER,BACKCOUNTRY-BREWERY--AMBER-12OZ-BOTTLES-6-PACK_p_25141.html,12OZ BOTTLES,6 PACK,$9.29,2014-03-10 14:38:16.207931,,
4495,superiorliquor,BIG CHOICE BREWING,DISC. RED,BIG-CHOICE-BREWING--DISC-RED-16OZ-CANS-4PKC_p_24343.html,16OZ CANS,4PKC,$8.49,2014-03-10 14:38:16.288345,,
4743,superiorliquor,STELLA ARTOIS,BELGIUM,STELLA-ARTOIS--BELGIUM-330ML-BOTTLES-12-PACK_p_13333.html,330ML BOTTLES,12 PACK,$15.99,2014-03-10 14:38:16.369438,,
3765,superiorliquor,BOULDER,BUFF GOLD,BOULDER--BUFF-GOLD-12OZ-BOTTLES-6-PACK_p_11236.html,12OZ BOTTLES,6 PACK,$8.99,2014-03-10 14:38:16.458576,,
4209,superiorliquor,MIKES,SAMPLER,MIKES--SAMPLER-12OZ-BOTTLES-12-PACK_p_14092.html,12OZ BOTTLES,12 PACK,$15.49,2014-03-10 14:38:16.538709,,
3836,superiorliquor,LEINENKUGAL,HONEY WHEAT,LEINENKUGAL--HONEY-WHEAT-12OZ-BOTTLE-6-PACK_p_11234.html,12OZ BOTTLE,6 PACK,$9.49,2014-03-10 14:38:16.619585,,
3979,superiorliquor,BRECKENRIDGE,LUCKY U INDIA PALE ALE,BRECKENRIDGE--LUCKY-U-INDIA-PALE-ALE-12OZ-BOTTLES-6-PACK_p_18329.html,12OZ BOTTLES,6 PACK,$9.49,2014-03-10 14:38:16.700585,,
3997,superiorliquor,BRECKENRIDGE,STOUT,BRECKENRIDGE--STOUT-12OZ-BOTTLES-6-PACK_p_11226.html,12OZ BOTTLES,6 PACK,$9.49,2014-03-10 14:38:16.93949,,
4877,superiorliquor,TWISTED TEA,HARD ICED TEA,TWISTED-TEA--HARD-ICED-TEA-BOTTLE-12-PACK_p_24801.html,BOTTLE,12 PACK,$11.99,2014-03-10 14:38:17.020918,,
4167,superiorliquor,MIKES,CRAN. LEMON,MIKES--CRAN-LEMON-12OZ-BOTTLES-12-PACK_p_13143.html,12OZ BOTTLES,12 PACK,$15.49,2014-03-10 14:38:17.495106,,
4498,superiorliquor,BIG CHOICE BREWING,WEST PORTAL ALE 16OZ,BIG-CHOICE-BREWING--WEST-PORTAL-ALE-16OZ-4PKC_p_24766.html,,4PKC,$8.49,2014-03-10 14:38:19.231351,,
10780,superiorliquor,STONE,SAMPLER,STONE--SAMPLER-12OZ-BOTTLES-12-PACK_p_25253.html,12OZ BOTTLES,12 PACK,$19.99,2014-03-10 14:38:19.965569,,
4286,superiorliquor,ALASKAN,INDIA PALE ALE,ALASKAN--INDIA-PALE-ALE-12OZ-BOTTLES-6-PACK_p_17034.html,12OZ BOTTLES,6 PACK,$9.49,2014-03-10 14:38:20.729093,,
4957,applejack,,{"ANCHOR STEAM 12PK BOTTLES"},{/beer/product/26111-ANCHOR-STEAM-12PK-BOTTLES},,,{$17.49},2014-03-10 14:38:25.575086,,
19411,applejack,,{"AVERY NEW WORLD PORTER 6PK"},{/beer/product/7508-AVERY-NEW-WORLD-PORTER-6PK},,,{$8.99,$7.99},2014-03-10 14:38:25.900804,,
5020,applejack,,{"BATCH 19 12PK"},{/beer/product/262-BATCH-19-12PK},,,{$15.99},2013-12-21 20:45:41.240681,,
19472,applejack,,{"BEAR REPUBLIC RACER X 22OZ"},{/beer/product/3771-BEAR-REPUBLIC-RACER-X-22OZ},,,{$8.99},2013-12-21 20:45:41.298926,,
5130,applejack,,{"TRUMER PILS 12PK"},{/beer/product/24088-TRUMER-PILS-12PK},,,{$12.99},2013-12-21 20:45:43.891956,,
19517,applejack,,{"BLUE MOON PINE IN THE NECK 750ML"},{/beer/product/28877-BLUE-MOON-PINE-IN-THE-NECK-750ML},,,{$6.99},2013-12-21 20:45:44.194021,,
19526,applejack,,{"BOULDER BEER HECKLER 4PK"},{/beer/product/3835-BOULDER-BEER-HECKLER-4PK},,,{$14.99},2013-12-21 20:45:44.325423,,
19527,applejack,,{"BLUE MOON TONGUE THAI-ED 750ML"},{/beer/product/28876-BLUE-MOON-TONGUE-THAI-ED-750ML},,,{$6.99},2013-12-21 20:45:44.399326,,
